"","SID","Age","Sex","Experimenter","Entered.by","Language","Exclude","Exclude_reason","Knower_level","Counterbalance","Condition","Task","Trial_number","Task_item","Response","Correct","Counting.Number.language","Notes","CP_subset","Numerosity"
"47","101919-E",4.97467488,"F","LAK","LAK","English",0,"","CP","B","SHARING","Set-matching","2",3,"3","1","0","","CP","Small"
"48","101919-E",4.97467488,"F","LAK","LAK","English",0,"","CP","B","SHARING","Set-matching","3",8,"8","1","0","","CP","Large"
"49","101919-E",4.97467488,"F","LAK","LAK","English",0,"","CP","B","SHARING","Set-matching","4",6,"6","1","0","","CP","Large"
"50","101919-E",4.97467488,"F","LAK","LAK","English",0,"","CP","B","SHARING","Set-matching","5",10,"10","1","0","","CP","Large"
"51","101919-I",4.728268309,"F","LAK","LAK","English",0,"","CP","B","SHARING","Set-matching","1",4,"4","1","0","","CP","Small"
"52","101919-I",4.728268309,"F","LAK","LAK","English",0,"","CP","B","SHARING","Set-matching","2",3,"3","1","0","","CP","Small"
"53","101919-I",4.728268309,"F","LAK","LAK","English",0,"","CP","B","SHARING","Set-matching","3",8,"8","1","0","","CP","Large"
"54","101919-I",4.728268309,"F","LAK","LAK","English",0,"","CP","B","SHARING","Set-matching","4",6,"6","1","0","","CP","Large"
"55","101919-I",4.728268309,"F","LAK","LAK","English",0,"","CP","B","SHARING","Set-matching","5",10,"10","1","1","","CP","Large"
"56","101919-SL",4.553045859,"M","LAK","LAK","English",0,"","4","A","SHARING","Set-matching","1",3,"4","0","0","","Subset","Small"
"57","101919-SL",4.553045859,"M","LAK","LAK","English",0,"","4","A","SHARING","Set-matching","2",4,"5","0","0","","Subset","Small"
"58","101919-SL",4.553045859,"M","LAK","LAK","English",0,"","4","A","SHARING","Set-matching","3",10,"12","0","0","","Subset","Large"
"59","101919-SL",4.553045859,"M","LAK","LAK","English",0,"","4","A","SHARING","Set-matching","4",6,"10","0","0","","Subset","Large"
"60","101919-SL",4.553045859,"M","LAK","LAK","English",0,"","4","A","SHARING","Set-matching","5",8,"3","0","0","","Subset","Large"
"61","102719-E",4.399726215,"F","OM","OM","English",0,"","CP","B","SHARING","Set-matching","1",4,"5","0","0","","CP","Small"
"62","102719-E",4.399726215,"F","OM","OM","English",0,"","CP","B","SHARING","Set-matching","2",3,"3","1","0","","CP","Small"
"63","102719-E",4.399726215,"F","OM","OM","English",0,"","CP","B","SHARING","Set-matching","3",8,"8","1","0","","CP","Large"
"64","102719-E",4.399726215,"F","OM","OM","English",0,"","CP","B","SHARING","Set-matching","4",6,"8","0","0","","CP","Large"
"65","102719-E",4.399726215,"F","OM","OM","English",0,"","CP","B","SHARING","Set-matching","5",10,"10","1","0","","CP","Large"
"66","110219-LC",3.403148528,"M","EL","EL","English",0,"","CP","A","SHARING","Set-matching","1",3,"3","1","0","","CP","Small"
"67","110219-LC",3.403148528,"M","EL","EL","English",0,"","CP","A","SHARING","Set-matching","2",4,"4","1","0","","CP","Small"
"68","110219-LC",3.403148528,"M","EL","EL","English",0,"","CP","A","SHARING","Set-matching","3",10,"11","0","0","","CP","Large"
"69","110219-LC",3.403148528,"M","EL","EL","English",0,"","CP","A","SHARING","Set-matching","4",6,"6","1","0","","CP","Large"
"70","110219-LC",3.403148528,"M","EL","EL","English",0,"","CP","A","SHARING","Set-matching","5",8,"12","0","0","","CP","Large"
"71","110219-KS",4.309377139,"M","EL","EL","English",0,"","4","A","SHARING","Set-matching","1",3,"3","1","0","","Subset","Small"
"72","110219-KS",4.309377139,"M","EL","EL","English",0,"","4","A","SHARING","Set-matching","2",4,"5","0","0","","Subset","Small"
"73","110219-KS",4.309377139,"M","EL","EL","English",0,"","4","A","SHARING","Set-matching","3",10,"11","0","0","","Subset","Large"
"74","110219-KS",4.309377139,"M","EL","EL","English",0,"","4","A","SHARING","Set-matching","4",6,"8","0","0","","Subset","Large"
