"","SID","Age","Sex","Language","Exclude","Exclude_reason","Knower_level","Condition","Task","Trial_number","Task_item","Response","Correct","Counting.Number.language","Notes","Counting_validate","Num_lang","count_proficiency","highest_count","Numerosity","CP_subset"
"45","one-one_7","3.920602327","M","English",0,"","5","Non-identical","Give_N","10",NA,NA,NA,1,"",NA,NA,3,7,NA,"Subset"
"46","one-one_7","3.920602327","M","English",0,"","5","Non-identical","Give_N","11",NA,NA,NA,1,"",NA,NA,3,7,NA,"Subset"
"47","one-one_7","3.920602327","M","English",0,"","5","Non-identical","Give_N","12",NA,NA,NA,1,"",NA,NA,3,7,NA,"Subset"
"48","one-one_7","3.920602327","M","English",0,"","5","Non-identical","Give_N","13",NA,NA,NA,1,"",NA,NA,3,7,NA,"Subset"
"49","one-one_7","3.920602327","M","English",0,"","5","Non-identical","Give_N","14",NA,NA,NA,1,"",NA,NA,3,7,NA,"Subset"
"50","one-one_7","3.920602327","M","English",0,"","5","Non-identical","Give_N","15",NA,NA,NA,1,"",NA,NA,3,7,NA,"Subset"
"51","one-one_8","3.58110883","F","English",0,"","4","Non-identical","Parallel","1","3","3",1,0,"",NA,NA,1,19,"Small","Subset"
"52","one-one_8","3.58110883","F","English",0,"","4","Non-identical","Parallel","2","4","5",0,0,"",NA,NA,1,19,"Small","Subset"
"53","one-one_8","3.58110883","F","English",0,"","4","Non-identical","Parallel","3","10","10",1,0,"",NA,NA,1,19,"Large","Subset"
"54","one-one_8","3.58110883","F","English",0,"","4","Non-identical","Parallel","4","8","12",0,0,"",NA,NA,1,19,"Large","Subset"
"55","one-one_8","3.58110883","F","English",0,"","4","Non-identical","Parallel","5","6","13",0,0,"",NA,NA,1,19,"Large","Subset"
"56","one-one_8","3.58110883","F","English",0,"","4","Non-identical","Orthogonal","1","4","12",0,0,"",NA,NA,1,19,"Small","Subset"
"57","one-one_8","3.58110883","F","English",0,"","4","Non-identical","Orthogonal","2","3","6",0,0,"",NA,NA,1,19,"Small","Subset"
"58","one-one_8","3.58110883","F","English",0,"","4","Non-identical","Orthogonal","3","8","9",0,0,"",NA,NA,1,19,"Large","Subset"
"59","one-one_8","3.58110883","F","English",0,"","4","Non-identical","Orthogonal","4","10","7",0,0,"",NA,NA,1,19,"Large","Subset"
"60","one-one_8","3.58110883","F","English",0,"","4","Non-identical","Orthogonal","5","6","8",0,0,"",NA,NA,1,19,"Large","Subset"
"61","one-one_8","3.58110883","F","English",0,"","4","Non-identical","Give_N","1","3","3",1,1,"",NA,NA,1,19,NA,"Subset"
"62","one-one_8","3.58110883","F","English",0,"","4","Non-identical","Give_N","2","4","5",0,1,"",NA,NA,1,19,NA,"Subset"
"63","one-one_8","3.58110883","F","English",0,"","4","Non-identical","Give_N","3","3","3",1,1,"",NA,NA,1,19,NA,"Subset"
"64","one-one_8","3.58110883","F","English",0,"","4","Non-identical","Give_N","4","4","4",1,1,"",NA,NA,1,19,NA,"Subset"
"65","one-one_8","3.58110883","F","English",0,"","4","Non-identical","Give_N","5","5","6",0,1,"",NA,NA,1,19,NA,"Subset"
"66","one-one_8","3.58110883","F","English",0,"","4","Non-identical","Give_N","6","4","4",1,1,"",NA,NA,1,19,NA,"Subset"
"67","one-one_8","3.58110883","F","English",0,"","4","Non-identical","Give_N","7",NA,NA,NA,1,"",NA,NA,1,19,NA,"Subset"
"68","one-one_8","3.58110883","F","English",0,"","4","Non-identical","Give_N","8",NA,NA,NA,1,"",NA,NA,1,19,NA,"Subset"
"69","one-one_8","3.58110883","F","English",0,"","4","Non-identical","Give_N","9",NA,NA,NA,1,"",NA,NA,1,19,NA,"Subset"
"70","one-one_8","3.58110883","F","English",0,"","4","Non-identical","Give_N","10",NA,NA,NA,1,"",NA,NA,1,19,NA,"Subset"
"71","one-one_8","3.58110883","F","English",0,"","4","Non-identical","Give_N","11",NA,NA,NA,1,"",NA,NA,1,19,NA,"Subset"
"72","one-one_8","3.58110883","F","English",0,"","4","Non-identical","Give_N","12",NA,NA,NA,1,"",NA,NA,1,19,NA,"Subset"
"73","one-one_8","3.58110883","F","English",0,"","4","Non-identical","Give_N","13",NA,NA,NA,1,"",NA,NA,1,19,NA,"Subset"
"74","one-one_8","3.58110883","F","English",0,"","4","Non-identical","Give_N","14",NA,NA,NA,1,"",NA,NA,1,19,NA,"Subset"
"75","one-one_8","3.58110883","F","English",0,"","4","Non-identical","Give_N","15",NA,NA,NA,1,"",NA,NA,1,19,NA,"Subset"
"76","one-one_9","4.254620123","F","English",0,"","CP","Non-identical","Parallel","1","3","3",1,0,"",NA,NA,3,28,"Small","CP"
"77","one-one_9","4.254620123","F","English",0,"","CP","Non-identical","Parallel","2","4","4",1,0,"",NA,NA,3,28,"Small","CP"
"78","one-one_9","4.254620123","F","English",0,"","CP","Non-identical","Parallel","3","10","11",0,0,"",NA,NA,3,28,"Large","CP"
"79","one-one_9","4.254620123","F","English",0,"","CP","Non-identical","Parallel","4","8","8",1,0,"",NA,NA,3,28,"Large","CP"
"80","one-one_9","4.254620123","F","English",0,"","CP","Non-identical","Parallel","5","6","6",1,0,"",NA,NA,3,28,"Large","CP"
"81","one-one_9","4.254620123","F","English",0,"","CP","Non-identical","Orthogonal","1","4","4",1,0,"",NA,NA,3,28,"Small","CP"
"82","one-one_9","4.254620123","F","English",0,"","CP","Non-identical","Orthogonal","2","3","3",1,0,"",NA,NA,3,28,"Small","CP"
"83","one-one_9","4.254620123","F","English",0,"","CP","Non-identical","Orthogonal","3","8","7",0,0,"",NA,NA,3,28,"Large","CP"
"84","one-one_9","4.254620123","F","English",0,"","CP","Non-identical","Orthogonal","4","10","8",0,0,"",NA,NA,3,28,"Large","CP"
"85","one-one_9","4.254620123","F","English",0,"","CP","Non-identical","Orthogonal","5","6","6",1,0,"",NA,NA,3,28,"Large","CP"
"86","one-one_9","4.254620123","F","English",0,"","CP","Non-identical","Give_N","1","3","3",1,1,"",NA,NA,3,28,NA,"CP"
"87","one-one_9","4.254620123","F","English",0,"","CP","Non-identical","Give_N","2","4","4",1,1,"",NA,NA,3,28,NA,"CP"
"88","one-one_9","4.254620123","F","English",0,"","CP","Non-identical","Give_N","3","5","5",1,1,"",NA,NA,3,28,NA,"CP"
"89","one-one_9","4.254620123","F","English",0,"","CP","Non-identical","Give_N","4","6","7",0,1,"",NA,NA,3,28,NA,"CP"
"90","one-one_9","4.254620123","F","English",0,"","CP","Non-identical","Give_N","5","5","5",1,1,"",NA,NA,3,28,NA,"CP"
"91","one-one_9","4.254620123","F","English",0,"","CP","Non-identical","Give_N","6","6","6",1,1,"",NA,NA,3,28,NA,"CP"
"92","one-one_9","4.254620123","F","English",0,"","CP","Non-identical","Give_N","7","6","6",1,1,"",NA,NA,3,28,NA,"CP"
"93","one-one_9","4.254620123","F","English",0,"","CP","Non-identical","Give_N","8",NA,NA,NA,1,"",NA,NA,3,28,NA,"CP"
"94","one-one_9","4.254620123","F","English",0,"","CP","Non-identical","Give_N","9",NA,NA,NA,1,"",NA,NA,3,28,NA,"CP"
"95","one-one_9","4.254620123","F","English",0,"","CP","Non-identical","Give_N","10",NA,NA,NA,1,"",NA,NA,3,28,NA,"CP"
"96","one-one_9","4.254620123","F","English",0,"","CP","Non-identical","Give_N","11",NA,NA,NA,1,"",NA,NA,3,28,NA,"CP"
"97","one-one_9","4.254620123","F","English",0,"","CP","Non-identical","Give_N","12",NA,NA,NA,1,"",NA,NA,3,28,NA,"CP"
"98","one-one_9","4.254620123","F","English",0,"","CP","Non-identical","Give_N","13",NA,NA,NA,1,"",NA,NA,3,28,NA,"CP"
"99","one-one_9","4.254620123","F","English",0,"","CP","Non-identical","Give_N","14",NA,NA,NA,1,"",NA,NA,3,28,NA,"CP"
"100","one-one_9","4.254620123","F","English",0,"","CP","Non-identical","Give_N","15",NA,NA,NA,1,"",NA,NA,3,28,NA,"CP"
"101","one-one_10","3.849418207","F","English",0,"","CP","Identical","Parallel","1","3","3",1,0,"",NA,NA,3,20,"Small","CP"
"102","one-one_10","3.849418207","F","English",0,"","CP","Identical","Parallel","2","4","4",1,0,"",NA,NA,3,20,"Small","CP"
"103","one-one_10","3.849418207","F","English",0,"","CP","Identical","Parallel","3","10","9",0,0,"",NA,NA,3,20,"Large","CP"
"104","one-one_10","3.849418207","F","English",0,"","CP","Identical","Parallel","4","8","8",1,0,"",NA,NA,3,20,"Large","CP"
